number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),False,False,40,28,12,OPEN,1740297687000,53.355173,-6.278424
101,dublin,KING STREET NORTH,King Street North,False,False,30,14,16,OPEN,1740297578000,53.350291,-6.273507
115,dublin,KILLARNEY STREET,Killarney Street,False,False,30,11,19,OPEN,1740297683000,53.354845,-6.247579
47,dublin,HERBERT STREET,Herbert Street,False,False,40,36,4,OPEN,1740297540000,53.335742,-6.24551
117,dublin,HANOVER QUAY EAST,Hanover Quay East,False,False,40,37,3,OPEN,1740297629000,53.343653,-6.231755
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,False,False,30,6,24,OPEN,1740297665000,53.347884,-6.248048
27,dublin,MOLESWORTH STREET,Molesworth Street,False,False,20,14,6,OPEN,1740297542000,53.341288,-6.258117
16,dublin,GEORGES QUAY,Georges Quay,False,False,20,12,8,OPEN,1740297819000,53.347508,-6.252192
96,dublin,KILMAINHAM LANE,Kilmainham Lane,False,False,30,24,5,OPEN,1740297503000,53.341805,-6.305085
82,dublin,MOUNT BROWN,Mount Brown,False,False,22,16,6,OPEN,1740297683000,53.341645,-6.29719
76,dublin,MARKET STREET SOUTH,Market Street South,False,False,38,26,12,OPEN,1740297677000,53.342296,-6.287661
71,dublin,KEVIN STREET,Kevin Street,False,False,40,11,29,OPEN,1740297815000,53.337757,-6.267699
79,dublin,ECCLES STREET EAST,Eccles Street East,False,False,27,27,0,OPEN,1740297656000,53.358115,-6.265601
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,False,False,40,27,13,OPEN,1740297695000,53.342638,-6.238695
25,dublin,MERRION SQUARE EAST,Merrion Square East,False,False,30,30,0,OPEN,1740297807000,53.339434,-6.246548
51,dublin,YORK STREET WEST,York Street West,False,False,40,0,0,OPEN,1740297430000,53.339334,-6.264699
37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,False,False,30,25,5,OPEN,1740297661000,53.337494,-6.26199
59,dublin,DENMARK STREET GREAT,Denmark Street Great,False,False,20,18,2,OPEN,1740297896000,53.35561,-6.261397
95,dublin,ROYAL HOSPITAL,Royal Hospital,False,False,40,24,16,OPEN,1740297807000,53.343897,-6.29706
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),False,False,40,18,22,OPEN,1740297628000,53.346985,-6.297804
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),False,False,36,32,4,OPEN,1740297713000,53.355954,-6.278378
36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,False,False,40,26,14,OPEN,1740297515000,53.337824,-6.256035
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),False,False,40,3,37,OPEN,1740297696000,53.346603,-6.296924
22,dublin,TOWNSEND STREET,Townsend Street,False,False,20,0,19,OPEN,1740297511000,53.345922,-6.254614
50,dublin,GEORGES LANE,George's Lane,False,False,40,24,16,OPEN,1740297756000,53.35023,-6.279696
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,False,False,40,23,17,OPEN,1740297794000,53.356307,-6.273717
